Date;Horaire;Distance;
28/09/2021;10:56:37;3.428685;
28/09/2021;10:56:38;3.424213;
28/09/2021;10:56:39;3.431626;
28/09/2021;10:56:41;3.430631;
28/09/2021;10:56:42;3.426869;
28/09/2021;10:56:43;3.427719;
28/09/2021;10:56:45;3.427864;
28/09/2021;10:56:46;3.431465;
28/09/2021;10:56:47;3.438865;
28/09/2021;10:56:49;3.434922;
28/09/2021;10:56:50;3.430496;
28/09/2021;10:56:51;3.432206;
28/09/2021;10:56:53;3.431653;
28/09/2021;10:56:54;3.433231;
28/09/2021;10:56:56;3.435477;
28/09/2021;10:56:57;3.434738;
28/09/2021;10:56:58;3.436108;
28/09/2021;10:57:00;3.433553;
28/09/2021;10:57:01;3.434722;
28/09/2021;10:57:02;3.433626;
28/09/2021;10:57:04;3.433201;
28/09/2021;10:57:05;3.434131;
28/09/2021;10:57:07;3.431387;
28/09/2021;10:57:08;3.429848;
28/09/2021;10:57:09;3.431793;
28/09/2021;10:57:11;3.430619;
28/09/2021;10:57:12;3.427299;
28/09/2021;10:57:13;3.427875;
28/09/2021;10:57:15;3.427037;
28/09/2021;10:57:16;3.424812;
28/09/2021;10:57:18;3.425429;
28/09/2021;10:57:19;3.428045;
28/09/2021;10:57:20;3.425587;
28/09/2021;10:57:22;3.423221;
28/09/2021;10:57:23;3.424051;
28/09/2021;10:57:24;3.423678;
28/09/2021;10:57:26;3.428414;
28/09/2021;10:57:27;3.425724;
28/09/2021;10:57:28;3.429925;
28/09/2021;10:57:30;3.430474;
28/09/2021;10:57:31;3.428506;
28/09/2021;10:57:32;3.43042;
28/09/2021;10:57:34;3.430831;
28/09/2021;10:57:35;3.42577;
28/09/2021;10:57:36;3.428304;
28/09/2021;10:57:38;3.431766;
28/09/2021;10:57:39;3.429803;
28/09/2021;10:57:41;3.428883;
28/09/2021;10:57:42;3.429622;
28/09/2021;10:57:43;3.430502;
28/09/2021;10:57:45;3.426745;
28/09/2021;10:57:46;3.431057;
28/09/2021;10:57:47;3.430783;
28/09/2021;10:57:49;3.430292;
28/09/2021;10:57:50;3.432293;
28/09/2021;10:57:51;3.432267;
28/09/2021;10:57:53;3.432478;
28/09/2021;10:57:54;3.432792;
28/09/2021;10:57:55;3.434971;
28/09/2021;10:57:57;3.432672;
28/09/2021;10:57:58;3.43085;
28/09/2021;10:58:00;3.435026;
28/09/2021;10:58:01;3.437755;
28/09/2021;10:58:02;3.429765;
28/09/2021;10:58:04;3.440786;
28/09/2021;10:58:05;3.432944;
28/09/2021;10:58:06;3.43369;
